Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1674.460846
FDW14,OUT017,1407.71479
NCN55,OUT010,901.1678715
FDQ58,OUT017,2522.58173
FDY38,OUT027,5740.297908
FDH56,OUT046,1917.573978
FDL48,OUT018,682.5406439
FDC48,OUT027,2436.471765
FDN33,OUT045,1520.520461
FDA36,OUT017,3052.119
FDT44,OUT017,1938.263083
FDQ56,OUT045,1381.196649
NCC54,OUT019,898.9279372
FDU11,OUT049,2058.653347
DRL59,OUT013,830.1095074
FDM24,OUT049,2456.128909
FDI57,OUT045,3057.301272
DRC12,OUT018,2894.688025
NCM42,OUT027,2973.562421
FDA46,OUT010,672.0276075
FDA31,OUT013,2822.679472
NCJ31,OUT035,3873.896873
FDG52,OUT046,788.8577397
NCL19,OUT019,330.3733741
FDS10,OUT035,3053.212357
FDX22,OUT010,795.6410418
NCF19,OUT035,830.7307663
NCE06,OUT046,2561.49685
DRC27,OUT046,3865.989251
FDE21,OUT035,1975.506094
NCR42,OUT019,-277.7284015
FDX51,OUT018,2918.268866
NCR06,OUT018,533.7801818
FDU31,OUT027,5434.464221
FDU59,OUT017,2609.99147
FDR03,OUT027,5365.220561
FDS49,OUT027,2389.281097
FDD48,OUT010,216.3143702
NCF18,OUT017,3065.250999
NCD43,OUT027,2771.494397
NCD54,OUT018,1938.549045
FDY19,OUT010,224.490238
NCY54,OUT017,2865.166418
NCL19,OUT018,2273.42731
FDP23,OUT010,806.0610298
FDC26,OUT013,1757.156267
FDR14,OUT010,-149.3186422
NCS41,OUT035,3121.192498
FDF41,OUT035,3896.892788
FDU34,OUT046,2031.965215
DRH11,OUT046,912.5630454
FDM03,OUT013,1658.041257
FDS31,OUT017,3063.909752
FDJ20,OUT017,2077.431979
FDV44,OUT027,5074.024371
FDG02,OUT049,3077.534955
FDA09,OUT013,2906.696004
FDT04,OUT013,667.9695407
FDL58,OUT019,994.3769954
FDE52,OUT045,1399.738408
FDW12,OUT035,2485.509217
FDL51,OUT017,3657.804237
NCY42,OUT027,3305.267842
FDR07,OUT017,1547.16055
FDN40,OUT045,2368.550469
FDB35,OUT027,2652.088386
FDA22,OUT017,2602.278724
NCL06,OUT046,4091.395887
FDI35,OUT013,3072.701157
NCW42,OUT045,3614.565702
NCX06,OUT049,2909.748734
FDC37,OUT027,2902.8453
FDZ14,OUT018,1852.530785
DRG49,OUT049,3871.644143
NCG06,OUT045,4076.12109
DRC36,OUT045,2833.602769
FDV21,OUT019,256.2778529
FDB53,OUT046,2455.050465
DRP47,OUT019,967.2355177
FDA14,OUT013,2467.413662
DRC24,OUT035,2536.880381
FDW21,OUT018,1459.814908
NCH29,OUT046,1544.228215
