,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1886.4269177526369
1,FDW14,OUT017,1580.7829078887278
2,NCN55,OUT010,974.7476905676201
3,FDQ58,OUT017,2841.0946185523826
4,FDY38,OUT027,6490.537920540725
5,FDH56,OUT046,2154.8602508174017
6,FDL48,OUT018,768.171064650628
7,FDC48,OUT027,2715.5310125360797
8,FDN33,OUT045,1710.2726071582658
9,FDA36,OUT017,3436.0856361796186
10,FDT44,OUT017,2176.6349522894952
11,FDQ56,OUT045,1550.3397743794937
12,NCC54,OUT019,972.5077563303412
13,FDU11,OUT049,2313.8186350185406
14,DRL59,OUT013,934.3194440047993
15,FDM24,OUT049,2762.9818445781984
16,FDI57,OUT045,3431.8461453948703
17,DRC12,OUT018,3252.5006751545898
18,NCM42,OUT027,3316.2192655275194
19,FDA46,OUT010,733.3109367893961
20,FDA31,OUT013,3177.0715056584336
21,NCJ31,OUT035,4356.236414680075
22,FDG52,OUT046,886.2533740586262
23,NCL19,OUT019,376.784029994465
24,FDS10,OUT035,3427.2290807397253
25,FDX22,OUT010,881.4776366666197
26,NCF19,OUT035,933.8331001129765
27,NCE06,OUT046,2887.0102217637814
28,DRC27,OUT046,4355.551944507355
29,FDE21,OUT035,2214.618482407759
30,NCR42,OUT019,-266.4117734968568
31,FDX51,OUT018,3270.140611084987
32,NCR06,OUT018,592.4525509853461
33,FDU31,OUT027,6115.870493474775
34,FDU59,OUT017,2939.3958807166287
35,FDR03,OUT027,6039.368796816431
36,FDS49,OUT027,2666.905022390758
37,FDD48,OUT010,253.63004915316785
38,NCF18,OUT017,3461.8551098358867
39,NCD43,OUT027,3094.334328535675
40,NCD54,OUT018,2176.142782515247
41,FDY19,OUT010,261.62991235313984
42,NCY54,OUT017,3224.6625409675867
43,NCL19,OUT018,2548.3442076569563
44,FDP23,OUT010,879.3356865620802
45,FDC26,OUT013,1986.6341649174788
46,FDR14,OUT010,-120.57504306746267
47,NCS41,OUT035,3507.1478089331117
48,FDF41,OUT035,4359.543214831721
49,FDU34,OUT046,2286.5609106203856
50,DRH11,OUT046,1026.359996566494
51,FDM03,OUT013,1866.0672075162574
52,FDS31,OUT017,3435.352644800335
53,FDJ20,OUT017,2334.779434971967
54,FDV44,OUT027,5721.322179618221
55,FDG02,OUT049,3450.151748967233
56,FDA09,OUT013,3264.0531693479143
57,FDT04,OUT013,756.0143280241106
58,FDL58,OUT019,1073.8164818066662
59,FDE52,OUT045,1574.1083957228016
60,FDW12,OUT035,2796.6465507927596
61,FDL51,OUT017,4111.714697875318
62,NCY42,OUT027,3734.758563935299
63,FDR07,OUT017,1743.8615391204498
64,FDN40,OUT045,2674.170584581602
65,FDB35,OUT027,2958.1631823616663
66,FDA22,OUT017,2933.443097718435
67,NCL06,OUT046,4612.130533997526
68,FDI35,OUT013,3442.309509577292
