Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1592.114734
FDW14,OUT017,1382.129689
NCN55,OUT010,604.0956739
FDQ58,OUT017,2531.45208
FDY38,OUT027,5964.472928
FDH56,OUT046,1903.60583
FDL48,OUT018,667.2062602
FDC48,OUT027,2224.622963
FDN33,OUT045,1512.131398
FDA36,OUT017,3127.333114
FDT44,OUT017,1918.067957
FDQ56,OUT045,1349.98712
NCC54,OUT019,601.8031033
FDU11,OUT049,2047.018409
DRL59,OUT013,834.6495411
FDM24,OUT049,2453.507788
FDI57,OUT045,3045.309227
DRC12,OUT018,2892.530629
NCM42,OUT027,2704.207754
FDA46,OUT010,525.6579333
FDA31,OUT013,2851.468776
NCJ31,OUT035,3891.808524
FDG52,OUT046,789.682345
NCL19,OUT019,360.1470238
FDS10,OUT035,2994.134338
FDX22,OUT010,613.7710596
NCF19,OUT035,813.2775604
NCE06,OUT046,2573.469983
DRC27,OUT046,3907.655807
FDE21,OUT035,1970.116328
NCR42,OUT019,31.20226748
FDX51,OUT018,2894.379194
NCR06,OUT018,504.4729581
FDU31,OUT027,5563.278255
FDU59,OUT017,2614.198133
FDR03,OUT027,5518.297241
FDS49,OUT027,2174.86799
FDD48,OUT010,327.6075938
NCF18,OUT017,3110.820226
NCD43,OUT027,2665.536098
NCD54,OUT018,1888.286759
FDY19,OUT010,325.1355064
NCY54,OUT017,2877.381784
NCL19,OUT018,2267.193679
FDP23,OUT010,571.6321182
FDC26,OUT013,1824.179406
FDR14,OUT010,142.0317066
NCS41,OUT035,3134.762923
FDF41,OUT035,3806.361933
FDU34,OUT046,2039.854862
DRH11,OUT046,910.1266462
FDM03,OUT013,1664.554608
FDS31,OUT017,3018.531343
FDJ20,OUT017,2037.675176
FDV44,OUT027,5175.318292
FDG02,OUT049,3065.5592
FDA09,OUT013,2933.914995
FDT04,OUT013,694.201223
FDL58,OUT019,592.0792427
FDE52,OUT045,1381.793478
FDW12,OUT035,2504.630556
FDL51,OUT017,3602.516837
NCY42,OUT027,3271.515286
FDR07,OUT017,1490.272693
FDN40,OUT045,2396.658142
FDB35,OUT027,2501.253608
FDA22,OUT017,2636.908323
NCL06,OUT046,4136.826508
FDI35,OUT013,3002.890073
NCW42,OUT045,3669.152191
NCX06,OUT049,3002.954847
FDC37,OUT027,2734.362204
FDZ14,OUT018,1832.833731
DRG49,OUT049,3937.145389
NCG06,OUT045,4023.180125
DRC36,OUT045,2845.215888
FDV21,OUT019,357.2966623
