Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1459.4136
FDW14,OUT017,1424.9382
NCN55,OUT010,620.25476
FDQ58,OUT017,2592.9485
FDY38,OUT027,5972.1465
FDH56,OUT046,1891.4359
FDL48,OUT018,590.7617
FDC48,OUT027,2265.1455
FDN33,OUT045,1474.3336
FDA36,OUT017,3158.2505
FDT44,OUT017,1928.2518
FDQ56,OUT045,1326.417
NCC54,OUT019,611.1549
FDU11,OUT049,2099.6643
DRL59,OUT013,820.4361
FDM24,OUT049,2440.0205
FDI57,OUT045,3124.71
DRC12,OUT018,2881.4568
NCM42,OUT027,2494.939
FDA46,OUT010,589.79816
FDA31,OUT013,2881.7478
NCJ31,OUT035,3915.525
FDG52,OUT046,805.46326
NCL19,OUT019,415.66245
FDS10,OUT035,2977.3638
FDX22,OUT010,569.4002
NCF19,OUT035,852.34424
NCE06,OUT046,2536.289
DRC27,OUT046,3913.7422
FDE21,OUT035,2037.1455
NCR42,OUT019,-204.65875
FDX51,OUT018,2915.8687
NCR06,OUT018,406.98254
FDU31,OUT027,5520.4194
FDU59,OUT017,2626.159
FDR03,OUT027,5456.135
FDS49,OUT027,2265.2012
FDD48,OUT010,448.82446
NCF18,OUT017,3108.7737
NCD43,OUT027,2582.003
NCD54,OUT018,1696.2654
FDY19,OUT010,454.54623
NCY54,OUT017,2905.6113
NCL19,OUT018,2220.8093
FDP23,OUT010,539.1632
FDC26,OUT013,1868.3123
FDR14,OUT010,-20.539963
NCS41,OUT035,3137.2114
FDF41,OUT035,3900.4321
FDU34,OUT046,2044.5597
DRH11,OUT046,849.91766
FDM03,OUT013,1663.7456
FDS31,OUT017,3029.9458
FDJ20,OUT017,2062.9404
FDV44,OUT027,5209.24
FDG02,OUT049,3150.8423
FDA09,OUT013,2992.712
FDT04,OUT013,670.8085
FDL58,OUT019,435.62592
FDE52,OUT045,1382.8511
FDW12,OUT035,2523.925
FDL51,OUT017,3524.6213
NCY42,OUT027,3317.1548
FDR07,OUT017,1380.5128
FDN40,OUT045,2356.4995
FDB35,OUT027,2421.7383
FDA22,OUT017,2695.8506
NCL06,OUT046,4109.5273
FDI35,OUT013,3008.045
NCW42,OUT045,3625.6992
NCX06,OUT049,3080.535
FDC37,OUT027,2664.1433
FDZ14,OUT018,1787.5872
DRG49,OUT049,3947.4224
NCG06,OUT045,3996.0977
DRC36,OUT045,2803.137
FDV21,OUT019,389.99866
FDB53,OUT046,2472.0886
DRP47,OUT019,745.0974
FDA14,OUT013,2473.261
DRC24,OUT035,2602.1904
FDW21,OUT018,1358.8267
NCH29,OUT046,1503.1871
FDU58,OUT013,3157.8237
FDY27,OUT017,2963.4912
FDV56,OUT035,1810.2944
FDT59,OUT046,3898.598
FDB23,OUT046,3446.464
FDR49,OUT045,716.1297
FDB03,OUT010,628.74255
FDN39,OUT045,2606.5005
FDX02,OUT027,5782.633
FDQ16,OUT027,2605.9646
FDU35,OUT018,1381.8964
NCT29,OUT013,2046.0354
FDZ27,OUT046,797.1746
FDN57,OUT017,2088.1304
FDA03,OUT018,2160.9377
FDZ36,OUT045,3007.359
NCU05,OUT013,1250.0283
FDT39,OUT018,2163.3003
FDK60,OUT017,1589.8864
FDZ25,OUT017,2804.9272
FDG12,OUT046,2071.7905
DRB01,OUT019,567.60583
NCC43,OUT027,6073.3784
FDX13,OUT019,771.37054
FDM22,OUT049,822.1409
FDJ03,OUT027,1762.4573
FDU14,OUT018,3690.5667
FDB33,OUT010,385.17093
FDP27,OUT046,3149.6526
FDO38,OUT010,165.66127
FDE28,OUT027,6662.8594
FDO27,OUT035,1568.1898
DRL23,OUT027,2600.6519
FDS28,OUT046,901.0254
FDX24,OUT013,1458.7919
FDZ02,OUT035,1603.4464
FDL46,OUT045,1569.3202
FDS60,OUT027,4477.6816
NCO06,OUT017,659.9662
FDO16,OUT035,1485.4839
FDC60,OUT049,1399.1936
FDA48,OUT018,3224.2546
FDZ36,OUT027,5047.1074
FDK27,OUT045,2005.5667
FDW23,OUT018,393.45404
FDM14,OUT018,1533.6083
FDM14,OUT013,1685.1699
FDW60,OUT018,2690.3203
FDE21,OUT013,1917.3204
NCM42,OUT035,1741.185
FDY59,OUT010,366.7185
DRI49,OUT049,1332.0482
FDT28,OUT019,345.37976
FDQ22,OUT018,418.671
FDR60,OUT049,1329.657
FDC50,OUT019,386.87354
FDV24,OUT013,2395.7332
DRF48,OUT010,939.2177
FDQ47,OUT046,674.00555
DRN36,OUT049,1570.0745
NCY06,OUT035,2129.0876
FDE52,OUT035,1543.0223
NCB54,OUT045,1995.9608
NCF31,OUT035,2504.4043
FDJ08,OUT027,5175.7695
NCC07,OUT017,1640.7313
NCD19,OUT027,1823.2734
FDL46,OUT049,1875.1105
FDM20,OUT045,4161.5825
NCI06,OUT010,453.81345
DRM11,OUT035,4560.486
NCH07,OUT018,2408.4246
FDS23,OUT013,2093.5498
FDO49,OUT018,514.1895
FDS35,OUT049,1080.9515
DRK39,OUT045,1288.5558
DRI39,OUT049,931.8999
FDV04,OUT017,2647.8032
NCN14,OUT035,3113.3796
FDH08,OUT013,3915.3208
FDS20,OUT046,3142.1812
FDV40,OUT049,1208.4219
FDZ48,OUT010,486.65298
FDS24,OUT027,2172.7263
FDK44,OUT049,2941.1257
FDS48,OUT045,2449.6812
FDK26,OUT010,560.52216
FDD23,OUT045,3071.6033
NCH54,OUT017,2657.773
NCP14,OUT010,420.69452
FDM60,OUT010,-203.65732
FDV24,OUT017,2434.648
FDH08,OUT018,3455.1135
FDS12,OUT027,3226.0662
FDR39,OUT027,4746.089
FDP12,OUT027,1395.5269
DRF60,OUT027,5982.953
FDC09,OUT035,1785.5431
FDF50,OUT018,2940.8325
FDG28,OUT035,3989.5168
NCE19,OUT017,921.04767
NCM53,OUT010,417.9026
NCN18,OUT049,1811.2671
FDF32,OUT035,3302.2727
FDF11,OUT013,3955.6726
DRI59,OUT049,3817.0806
NCG54,OUT035,2791.6033
FDM44,OUT046,1659.1299
FDT57,OUT018,3556.1414
FDV24,OUT046,2390.692
FDI50,OUT019,636.7805
FDS09,OUT035,855.5914
NCC31,OUT027,3785.0837
FDQ07,OUT019,565.6143
FDC22,OUT017,3199.8628
FDZ56,OUT046,2762.345
FDZ40,OUT019,21.50053
FDS46,OUT027,3003.5315
DRD24,OUT045,2079.6494
FDV45,OUT017,3194.8284
FDL26,OUT045,2410.7952
FDA56,OUT018,1800.067
FDN27,OUT046,1713.3972
FDM20,OUT049,4152.219
FDO16,OUT017,1455.6465
FDL03,OUT035,3216.8718
FDE58,OUT046,1876.1572
FDI02,OUT027,2966.953
NCC55,OUT019,-220.67668
FDR03,OUT018,3190.0764
FDB14,OUT017,1545.9236
FDR45,OUT013,3926.355
NCN07,OUT017,2092.889
FDM51,OUT019,424.2031
FDT52,OUT027,5994.027
FDL26,OUT046,2464.1367
NCZ42,OUT046,3871.3406
DRI47,OUT019,362.38196
FDW40,OUT013,2131.8596
FDN34,OUT046,2751.16
FDS01,OUT035,3065.137
NCG55,OUT045,1859.253
FDC11,OUT035,1428.2441
FDX35,OUT018,3398.9238
NCB06,OUT046,2600.508
FDR09,OUT019,738.72864
FDC53,OUT017,1617.42
FDY45,OUT013,4105.143
FDA22,OUT010,359.01767
FDE02,OUT035,1578.2535
FDW21,OUT045,1598.088
FDV34,OUT046,1169.9749
FDS59,OUT049,1689.468
NCW17,OUT017,2140.5847
NCK54,OUT046,1895.2614
FDG17,OUT019,639.6372
FDG35,OUT017,2515.3845
FDD08,OUT010,-202.08122
NCO07,OUT017,3585.6936
FDJ10,OUT010,402.92142
FDW36,OUT017,1688.8054
FDW21,OUT010,466.705
FDY19,OUT017,1946.507
DRE03,OUT013,767.69244
NCC55,OUT049,710.4304
FDH52,OUT010,97.69605
FDO09,OUT017,4325.385
FDU43,OUT045,3765.9155
FDX09,OUT010,385.3995
FDH40,OUT019,215.47047
FDW58,OUT017,1571.2415
FDC47,OUT017,3924.5903
NCR41,OUT035,1662.1194
DRG49,OUT035,3975.1804
FDC52,OUT027,3786.0703
FDY13,OUT046,1163.2162
FDY35,OUT013,696.6095
FDI35,OUT017,3218.18
NCU18,OUT049,2195.7292
FDY33,OUT018,2427.3179
FDC15,OUT027,4133.5537
FDU01,OUT049,3104.436
NCU42,OUT046,2757.224
NCV29,OUT018,2637.208
NCY30,OUT017,3161.56
FDQ46,OUT049,1888.9899
FDG58,OUT027,3798.634
FDK33,OUT017,3600.75
NCD07,OUT045,1819.4756
NCX29,OUT027,3791.1606
NCT42,OUT013,2420.088
DRN59,OUT035,807.4475
FDI44,OUT035,1364.573
FDA45,OUT049,2730.5708
FDP31,OUT045,709.40546
FDY01,OUT046,1860.8018
FDT09,OUT018,1823.2252
DRH03,OUT027,2509.9575
FDA36,OUT018,2751.9426
NCF31,OUT017,2483.028
FDG14,OUT049,2490.4167
FDG28,OUT027,6001.8447
FDU14,OUT049,4123.232
FDY47,OUT019,397.31598
FDI56,OUT049,1448.6715
DRD01,OUT013,899.3074
FDM22,OUT046,922.48376
FDH33,OUT013,678.8168
DRZ24,OUT013,2362.174
NCQ38,OUT046,1635.7734
FDO16,OUT027,2224.8943
FDU07,OUT027,3788.511
NCB07,OUT013,3096.5786
FDU48,OUT045,1990.8333
NCM43,OUT045,2642.3728
FDR31,OUT010,325.21393
DRK49,OUT018,414.05814
NCI30,OUT010,588.20715
DRD60,OUT017,3023.8152
NCG19,OUT046,3858.3357
FDH12,OUT035,1725.4718
FDM32,OUT035,1658.8167
FDM27,OUT035,2554.108
NCU53,OUT027,4051.4365
NCQ18,OUT046,1598.0994
FDS10,OUT013,2890.7986
FDB33,OUT027,4146.457
FDI12,OUT013,1378.0958
NCW42,OUT013,3712.8809
NCC06,OUT018,1757.7699
FDW02,OUT017,2137.5232
NCD43,OUT017,1750.2692
FDM57,OUT018,1075.1161
FDA58,OUT017,3920.0935
FDK56,OUT046,3138.2327
FDP52,OUT045,3779.5232
FDW20,OUT018,1827.3138
FDS52,OUT049,1664.1448
NCT29,OUT018,1702.8911
NCL54,OUT013,2884.148
FDC05,OUT045,3091.8972
FDF34,OUT035,3159.948
FDP03,OUT027,3088.9497
FDD32,OUT010,255.51212
FDZ10,OUT045,2028.8428
FDZ40,OUT035,959.1011
FDD51,OUT018,466.26135
NCY30,OUT019,446.52054
FDP58,OUT017,3575.8232
FDV49,OUT017,4155.023
FDY24,OUT019,-54.799915
NCO55,OUT017,1694.8259
FDR13,OUT017,1931.0958
FDS51,OUT017,1016.2081
FDP26,OUT045,1626.5574
NCB54,OUT027,3305.306
FDF32,OUT017,3194.8284
FDN31,OUT018,2867.7463
DRM48,OUT017,684.88135
FDN20,OUT049,2731.961
DRL01,OUT046,3832.2715
FDV56,OUT049,1709.9576
DRH13,OUT027,2653.7336
FDA03,OUT017,2466.4712
FDF47,OUT027,5592.576
FDX32,OUT046,2483.384
FDX57,OUT049,1570.4398
NCA30,OUT045,2974.652
FDO49,OUT013,784.73553
FDL04,OUT019,432.427
DRM48,OUT035,705.30365
FDR16,OUT013,3493.3096
NCC19,OUT018,2916.6794
NCE42,OUT045,3846.0217
FDY24,OUT017,941.45636
FDH19,OUT049,2887.7798
FDJ46,OUT013,2885.6963
FDN45,OUT010,491.17285
FDY08,OUT035,2176.9326
FDZ37,OUT035,1528.1326
NCT30,OUT045,722.0649
DRY23,OUT018,472.45963
NCZ30,OUT018,1783.1748
FDC44,OUT018,1695.8976
FDB45,OUT035,1611.818
FDY04,OUT013,2543.1824
FDM27,OUT046,2635.8298
FDZ43,OUT017,3935.0996
FDT39,OUT019,340.53598
NCC06,OUT019,362.06998
FDL15,OUT027,3812.3564
FDL57,OUT017,4116.943
FDU08,OUT046,1524.3971
FDK40,OUT017,4174.5083
FDQ12,OUT010,636.9741
FDS48,OUT017,2489.733
FDP09,OUT045,3405.6042
FDW21,OUT049,1616.01
FDY25,OUT035,3064.1992
DRE13,OUT017,1366.5776
FDV43,OUT019,-200.82707
FDD22,OUT045,1786.2493
FDM46,OUT019,345.84723
NCO30,OUT010,564.1852
FDM25,OUT046,2867.3628
NCN41,OUT049,2115.8955
FDU24,OUT045,1495.7118
FDZ50,OUT046,3149.2664
FDP45,OUT013,4095.473
NCM54,OUT045,2015.0074
FDW10,OUT019,237.36002
FDP20,OUT017,2107.5396
FDK32,OUT046,2479.5151
FDN52,OUT049,1397.6888
FDM58,OUT045,1730.4077
FDZ46,OUT027,2801.2056
NCA18,OUT018,1608.1094
FDD35,OUT046,2083.0151
NCK31,OUT035,891.8535
FDI40,OUT027,2635.5593
FDT50,OUT019,387.0936
NCT06,OUT046,2672.475
FDT31,OUT035,3180.5066
FDT45,OUT049,837.77124
FDT13,OUT045,3121.4688
FDO50,OUT045,1383.6377
NCU18,OUT010,383.81137
NCR54,OUT049,3235.4514
NCO18,OUT018,2667.175
FDU09,OUT045,846.93884
FDT13,OUT018,2915.6177
FDE09,OUT046,1886.4509
NCK53,OUT019,434.02277
FDG45,OUT049,3576.0332
DRH15,OUT035,755.0187
FDO21,OUT019,575.2086
FDD14,OUT027,5125.577
FDC09,OUT046,1665.718
FDH45,OUT027,1519.826
FDV32,OUT046,1055.2324
FDG12,OUT035,2022.2593
FDS32,OUT013,2098.7397
NCL55,OUT018,3634.5325
DRE01,OUT035,3964.263
DRE15,OUT049,1304.0847
NCL42,OUT045,3699.5198
FDP31,OUT013,920.5513
FDN33,OUT018,1307.973
FDZ59,OUT046,2674.6099
FDE45,OUT010,464.5791
FDJ07,OUT013,1901.6687
FDQ45,OUT018,2816.4695
FDM33,OUT027,5497.296
FDO15,OUT010,113.40031
FDM46,OUT013,1522.306
FDR03,OUT045,3451.9434
FDY49,OUT018,2491.611
FDQ60,OUT045,1803.8195
FDW10,OUT049,2705.751
FDO51,OUT049,682.66614
FDJ40,OUT018,1423.1968
FDS20,OUT018,2865.2896
FDU45,OUT013,1916.0239
FDV02,OUT035,2804.2424
